trial,score,deer.birth,deer.surv,predation.predAtk,predation.predCap,predation.predEff,predators.mort,vegetation.browse,vegetation.capMax,vegetation.vegRate
0,18.8069503345789,1.279905664987707,0.5030888259589392,0.002514159009221016,0.8135532745271474,0.0008541057394708602,0.2905071200437944,0.08312364750867314,199459.81804641345,0.28317434111086265
1,2.603458172683881,1.1331323530643722,0.7169700418160123,0.0036254643102267546,0.18358358735713198,0.0024182214145420013,0.08214533814966689,0.2274117626372614,93086.6449551397,0.3738235251833349
2,2.0292127889912615,1.19678852051196,0.6841591255292712,0.003730603037013681,0.13641902194255667,0.002947221885914751,0.34689092059002447,0.3542570742815475,375625.53165193455,0.30869874048469953
3,23.411075794036368,0.7400602141040664,0.6007472624655112,0.001406281483215302,0.7380840956174992,0.0020348580498439606,0.4466078736072604,0.0526274298395823,214961.7264022256,0.43816674782236986
4,5.319910155279968,0.9425405630858877,0.5112719162824153,0.0021239143960870796,0.82044903206171,0.0011648603993797664,0.3105174516277095,0.2272898413798502,97532.59395554711,0.5288301811561044
5,1.524029232242851,0.6827478743880616,0.5039612289398022,0.00041797623558603497,0.50880402423448,0.0002237751844003323,0.06987318403497134,0.5371820696541505,265184.0953771361,0.08152714007328637
6,2.3798317147710586,0.8583213394354883,0.8065844181712784,0.00046754228477096456,0.5428301295157791,0.0017669241689158143,0.3161775237189871,0.25206445486316165,374696.42209571705,0.303077572935646
7,1.4526183776830395,1.045742737254418,0.571666149181663,0.0013419186065498263,0.8956513206585455,0.00997974449314676,0.08702774359487161,0.3330364317442103,97335.42506693481,0.575412285658032
8,0.97171552557306,1.0500147026361542,0.5206547572707977,0.0018300513164282311,0.6230060323607183,0.005923077469125783,0.3940737504752383,0.14207165909591185,384295.2916768599,0.42622627502230465
9,1.3883163989851806,1.025725843973544,0.7166240020157001,0.002011150424672376,0.8881609116112273,0.005765637454537362,0.03863230919915281,0.518421635993012,191103.40859881855,0.061176077513015584
10,21.445136666508382,0.6920844823087402,0.7131269452678107,0.0016238854605524784,0.12549407862931858,0.006313626155515201,0.07844263488968442,0.2601434965955061,185187.88814691288,0.4816282137376859
11,1.7877483827212994,1.2267948402894615,0.7387186885335874,0.0035473848321253523,0.26102171190919343,0.00738928671784317,0.22975329953797824,0.4684327999968884,88125.14872880414,0.47261827701737424
12,1.8404464096074074,0.8356724967081626,0.9127527197377574,0.0018471152129106905,0.6173795651402535,0.0017520445640520992,0.42633864523092635,0.24054241557364406,388503.92761406704,0.1462624597289208
13,1.521935290006029,0.6554805370916774,0.9543292182596248,0.004930837407549853,0.565573999107416,0.00016815362040566167,0.058628034902407075,0.5851553714703897,96161.20085590154,0.1627581135729763
14,1.7053915984133965,1.3697899633557906,0.6701749299228562,0.0007036522237609501,0.5276423263256824,0.0014161310640694782,0.07069648296627756,0.36692920631823206,204441.16662559242,0.13307509335936302
15,91.69523615641663,0.9062604004760719,0.8378450664112287,0.003820969166167483,0.37555074579974534,0.00887740785321084,0.10946753771378481,0.03935813346472659,302716.21493799926,0.3380162427920557
16,4.852992267376886,0.9449922309367644,0.5476287004584881,0.0002427738769212232,0.4995120548389296,0.0017746204528524849,0.32595135387464547,0.5281534356257932,326945.51133462996,0.43212522701734
17,1.4701115013382704,0.5117127923861495,0.5844082610856384,0.002283759179493936,0.5253585175699017,0.003913425858153445,0.11133338695653659,0.13344472136695354,329647.69790088787,0.05972065490270151
18,5.299154199468998,1.3471586427536417,0.5138111898220186,0.004965772832643507,0.8056450048117858,0.005466319497839922,0.27604284962777675,0.3212578836079681,382859.912544343,0.294416378660721
19,95.30809755861952,1.078529414657413,0.760232632000813,0.001501940639131254,0.6661881230074791,0.007220728186276971,0.07850873289123755,0.0393474871401055,371051.0177519793,0.3269031455260005
20,29.091036766353238,1.073085429927338,0.5254150701002822,0.003014787978496429,0.36717133192043894,0.0087934035566709,0.13861948426424184,0.29412942628069166,225130.15523063383,0.42271714903476404
21,58.235857400466394,1.2882644513159633,0.5172794972268929,0.0029849976154574503,0.571282862796441,0.00679665672799301,0.22113794354067426,0.3749915979620253,313468.66267484205,0.4956417129776707
22,1.4670696451726617,0.6631816877124579,0.5311407436008321,0.0017742937218374493,0.4497054637593364,0.0053789130406269176,0.04220667846997023,0.3648695815473127,140508.81870773062,0.05068919381227432
23,0.9162457627837354,0.5077134260346322,0.9579389540522949,0.0029514310428487116,0.8799102841181796,0.009863832403037186,0.4214086611927781,0.46969248051111384,186825.39006376342,0.4675887123080756
