year,deer,pred,carry,births,survNum,kill,huntRem,predRec,pMort,ctrlRem,deerNxt,predNxt,carryNxt
1905,30000.0,200.0,30000.0,30000.0,25500.0,600.0,0.0,0.9,24.0,0.0,54900.0,176.9,33150.0
1906,54900.0,176.9,33150.0,34299.11625,37909.624406250005,971.181,0.0,1.4567715,21.228,0.0,71237.55965625001,157.1287715,34299.11625
1907,71237.55965625001,157.1287715,34299.11625,33985.49528357848,44719.79834942711,1119.347023344453,0.0,1.6790205350166796,18.855452579999998,11.768944985349998,77585.94660966113,128.1833944696667,33985.49528357848
1908,77585.94660966113,128.1833944696667,33985.49528357848,32990.75360900179,46995.097592931736,994.5229999568692,0.0,1.4917844999353038,15.382007336360003,9.600936245778035,78991.32820197665,104.69223538746397,32990.75360900179
1909,78991.32820197665,104.69223538746397,32990.75360900179,31706.724455519776,47046.67237943598,826.9778725689761,0.0,1.240466808853464,12.563068246495675,7.841448430521051,77926.41896238677,85.5281855193007,31706.724455519776
1910,77926.41896238677,85.5281855193007,31706.724455519776,30332.78910961366,46010.16343060019,666.4905217869768,0.0,0.9997357826804653,10.263382262316084,6.406061095395622,75676.46201842687,69.85847794426945,30332.78910961366
1911,75676.46201842687,69.85847794426945,30332.78910961366,28968.223042421938,44473.99115086075,528.664245281462,0.0,0.792996367922193,8.383017353312335,5.232399998025782,72913.54994800122,57.036056960853536,28968.22304242194
1912,72913.54994800122,57.036056960853536,28968.22304242194,27660.186888874046,42743.83815567198,415.87013880522375,0.0,0.6238052082078356,6.844326835302424,4.272000666367929,69988.1549057408,46.543534667391015,27660.186888874046
1913,69988.1549057408,46.543534667391015,27660.186888874046,26428.789212427317,40977.20125022145,325.7496114162079,0.0,0.4886244171243119,5.585224160086922,3.486110746587587,67080.24085123256,37.96082417784082,26428.789212427317
1914,67080.24085123256,37.96082417784082,26428.789212427317,25280.241081558517,39253.2048214362,254.64212287608547,0.0,0.38196318431412823,4.555298901340898,2.8432657309202773,64278.80378011863,30.944222729893777,25280.241081558517
1915,64278.80378011863,30.944222729893777,25280.241081558517,24213.785090223704,37609.35026989549,198.90576209831292,0.0,0.2983586431474694,3.7133067275872533,2.3177222824690435,61624.22959802088,25.211552362984953,24213.785090223704
1916,61624.22959802088,25.211552362984953,24213.785090223704,23225.347320384233,36061.07019032217,155.36424913391104,0.0,0.23304637370086656,3.0253862835581944,1.8883452719875728,59131.053261572495,20.530867181140053,23225.347320384233
1917,59131.053261572495,20.530867181140053,23225.347320384233,22309.45368709432,34612.215453183395,121.40118007942633,0.0,0.1821017701191395,2.4637040617368062,1.53776195186739,56800.26796019829,16.711502937655,22309.45368709432
1918,56800.26796019829,16.711502937655,22309.45368709432,21460.22272712316,33260.70854211161,94.92178448764449,0.0,0.14238267673146673,2.0053803525186,1.2516915700303592,54626.00948474713,13.596813691837504,21460.22272712316
1919,54626.00948474713,13.596813691837504,21460.22272712316,20671.865721182636,32001.596962520147,74.2739673692655,0.0,0.11141095105389826,1.6316176430205005,1.018401345518629,52599.18871633352,11.058205654352271,20671.865721182636
1920,52599.18871633352,11.058205654352271,20671.865721182636,19938.924231253033,30828.698002724286,58.16526460773016,0.0,0.08724789691159524,1.3269846785222725,0.828259603510985,50709.456969369596,8.99020926923061,19938.924231253033
1921,50709.456969369596,8.99020926923061,19938.924231253033,19256.368542879856,29735.475842706015,45.58886300836773,0.0,0.0683832945125516,1.078825112307673,0.6733666742653726,48946.25552257751,7.306400777170117,19256.368542879856
1922,48946.25552257751,7.306400777170117,19256.368542879856,18619.623532153248,28715.498598260572,35.76209593897274,0.0,0.05364314390845911,0.8767680932604139,0.5472494182100417,47299.36003447484,5.936026409608121,18619.623532153248
1923,47299.36003447484,5.936026409608121,18619.623532153248,18024.557841025402,27762.6650970876,28.077025032220554,0.0,0.042115537548330834,0.7123231691529744,0.4446083780796482,45759.14591308078,4.821210399923829,18024.557841025402
1924,45759.14591308078,4.821210399923829,18024.557841025402,17467.455681926967,26871.30567787829,22.061447016777702,308.87423491329525,0.03309217052516655,0.5785452479908595,0.08774602927861369,44007.82567787518,4.188011293179522,17467.455681926967
1925,44007.82567787518,4.188011293179522,17467.455681926967,16975.869022621067,25918.070247710904,18.430527092721704,297.05282332565747,0.027645790639082558,0.5025613551815427,0.0762218055358673,42578.4559199136,3.6368739231011946,16975.869022621067
1926,42578.4559199136,3.6368739231011946,16975.869022621067,16529.720492675195,25120.974975350233,15.485247602104746,287.40457745941677,0.02322787140315712,0.4364248707721433,0.06619110540044175,41347.805642963904,3.1574858183317667,16529.720492675195
1927,41347.805642963904,3.1574858183317667,16529.720492675195,16117.522562198654,24422.764487194087,13.055510993679672,279.09768809000633,0.01958326649051951,0.37889829819981197,0.05746624189363816,40248.13385030905,2.740704544728836,16117.522562198654
1928,40248.13385030905,2.740704544728836,16117.522562198654,15732.428017402937,23791.738793777593,11.030824336039652,271.6749034895861,0.016546236504059477,0.3288845453674603,0.04988082271406481,39241.46108335491,2.37848541315137,15732.428017402939
1929,39241.46108335491,2.37848541315137,15732.428017402939,15370.124976434035,23209.9240754103,9.333524277750682,264.8798623126456,0.014000286416626023,0.28541824957816436,0.043288434519354935,38305.835665253944,2.0637790154704767,15370.124976434037
1930,38305.835665253944,2.0637790154704767,15370.124976434037,15027.711541330349,22666.757562798324,7.905477981601166,258.56439074046415,0.011858216972401749,0.2476534818564572,0.037560778081562676,37427.999235406605,1.7904229725048588,15027.711541330349
