trial,score,deer.birth,deer.surv,predation.predAtk,predation.predCap,predation.predEff,predators.mort,vegetation.browse,vegetation.capMax,vegetation.vegRate
0,3.0590239132885495,0.7339264428892937,0.8577649249574043,0.0006770227879354884,0.5406987622376649,0.0005260002798841392,0.15548045492131762,0.05500586367382385,63001.29062672003,0.17788535969157676
1,0.7332284612321042,0.6159215818103182,0.669593177740327,0.0006502345533417438,0.34971781433176913,0.0011801590479994138,0.19731642096897717,0.10107105762067248,86236.5569764324,0.05595944388761407
2,1.0934823423200615,1.0188836369929362,0.7190876807812971,0.00015632402031196977,0.5764671897137297,0.0017493132710518712,0.07318646084503698,0.16116385036656158,60779.851161367325,0.21188609133556535
3,1.834295105700607,1.0842769639646281,0.8554061253428362,0.0005366918633632461,0.5852136701886538,0.001954818448320932,0.18801015781830677,0.12074520627337822,161699.3239616952,0.06934327536669281
4,1.588833522108168,0.9464112871540572,0.8466001426752232,4.677855927200655e-05,0.17534405160835076,0.0015180010216503251,0.06994799423090688,0.17234138006215546,134222.37028370955,0.215880932850599
5,1.6192294346756753,0.9814106665586401,0.7276912626395294,0.00037081078614976585,0.1652288669243182,0.0014081913280406554,0.2841636469281235,0.05559472062201842,72120.17152916749,0.09655817727220604
6,20.134290295755186,1.0374760787702095,0.6571908728166749,0.0003800759863158902,0.5942378428501274,0.0032359988232850546,0.18923743594366155,0.0342277296396194,133095.72068003856,0.17960707704931872
7,7.214828829049898,0.7374288431784626,0.6112350853664132,0.0003161375950110229,0.1972574817866365,0.0011338159335729998,0.2857274285837636,0.15519998230924897,161142.23042277715,0.18692285019797494
8,2.012450320625015,0.8373791406363985,0.9200916564091901,0.00045939300073481146,0.19568409157392885,0.001308474787700519,0.19034203354078771,0.131087733058976,97761.34569581735,0.22527352529453376
9,0.7728038584913699,0.8396403030842383,0.6767622657050492,0.0009975400688886152,0.3302394615220554,0.0005454561196515901,0.061779093856183645,0.17956457672049542,130150.31882682486,0.10254832170458705
10,0.9956076011805697,0.8532959800798103,0.622234697153185,0.00038223766722003026,0.5978667591320532,0.002692660290985771,0.29276959440340455,0.15841587287259284,135293.5250043708,0.07192982607013183
11,1.1911798716279622,1.009026221415945,0.7879396156430782,0.0002675583647625903,0.4025289892188944,0.0006466056506197946,0.15869131266727626,0.14414436387203894,61377.72263313836,0.22215594044689962
12,1.0259543263326116,0.7580334304506544,0.7752051395676044,0.00017947322864960124,0.5519453116396512,0.004365540992200158,0.12461119786215823,0.17517058807563882,174457.91130252962,0.1407447412658413
13,26.555090970908648,1.0575064800450908,0.788782660541869,0.0007788478521519277,0.34169451970734754,0.00010280229102692318,0.13103901425116826,0.030567853709926963,133076.42537258068,0.17778989897320102
14,1.8649083746583084,1.0989993176167077,0.7076299438909315,5.886724132769337e-05,0.5329052795622222,0.004740052281960171,0.0714133630169697,0.17574437556463685,171491.83395175403,0.05389534847716646
15,1.0974288229305464,1.0595006575841925,0.644937012574917,0.00047580709572063267,0.3523919764222191,0.0013987774818062897,0.26810826027131435,0.15212043305144632,68305.50221620603,0.14719809266332276
16,1.1581305704724993,1.0379586414539856,0.6704028721863935,0.0003124045750095941,0.5973321461634921,0.0032844024824333217,0.15952502097862603,0.10785921775589168,85415.78465304985,0.13462758804017738
17,4.357777863232957,0.8028513372884731,0.8059080514600316,0.00023088461786398043,0.17111956144835772,0.0004478661214442594,0.20777573931752474,0.044939467406311474,74520.50350419189,0.15351516820711814
18,0.9255322200112093,0.6425144099331921,0.6833016220291483,0.0006693088005179844,0.16783024405374122,0.0007483280587526225,0.28387856014516777,0.1719270800507493,168650.40156073536,0.09578835676223088
19,1.1934005703837978,1.084498198659986,0.6666434700266571,9.783388341459451e-05,0.2870781503235076,0.0021755352527976115,0.16675616700916873,0.15692388485815068,116720.5231574153,0.1642086186650569
20,2.9973932204320652,0.6590507226911753,0.740917448735794,0.00033996330278956825,0.523919894994035,0.0013184160362093996,0.09755222711020288,0.19683304227319323,140803.74567519617,0.19581516989197012
21,5.812232088272538,0.7498838687292603,0.9231429597466044,0.0004436876143084036,0.5237420076190068,0.002796594031004255,0.06264708238122031,0.0557090289333881,110625.7967801285,0.13972270956662639
22,2.6344350140913715,1.1558201898048766,0.8970435070450069,0.0001671447994933101,0.3171026189978951,0.0011473617660759901,0.15026007313736317,0.19379925145695026,160323.31020959423,0.2498564936825453
23,1.842222959720019,0.7591218349032911,0.8744247106819992,0.00045555335897180425,0.28265411729458956,0.004790856440212399,0.29885567237317845,0.1970617687559452,105476.77427722994,0.06172707999443579
24,13.814724124390235,0.7780246952967385,0.9390482777392055,0.00057960111052544,0.3482073607558508,0.003765080245857414,0.06429131822687077,0.030959365054812827,146208.99303555914,0.16115366468112363
25,1.496865101073076,0.6944596367636899,0.9362726161460576,8.103135377534629e-05,0.15220372853939776,0.0030156720216051353,0.21880313840102256,0.17054397840965707,120342.04595034162,0.16683551889179427
26,1.3000589022313822,0.7477292086731748,0.8080817037367044,0.0006197621288217711,0.2805737034347298,0.002959994217527001,0.1806956788829897,0.17805746282588752,74386.39367365491,0.09704077900018625
27,2.760989942291822,0.7432115715695076,0.738525046376939,0.0006720185327370114,0.21499839388931918,0.0016492682617320847,0.23796612310360055,0.14323836015788297,84511.10393082438,0.23694125154728546
28,1.8417551220865258,1.1976578687130566,0.6256412523848716,0.00021394115795477338,0.19586022811272075,0.0046729709521691745,0.2702160434216099,0.19969088817088848,114994.26271423034,0.06450862289863146
29,8.863911314804257,1.1002469727838842,0.8462389737805798,0.0006120660879602243,0.5929781849973274,0.0033044839567825893,0.05195577678803949,0.0315493664714464,104343.25064866607,0.22585404849690854
30,1.9079224009634093,1.1633580023562624,0.6470018900376787,0.00011631324174868312,0.10886978774017969,0.0028107958403355976,0.11808705307870408,0.13267774299321547,95925.45026399735,0.21342082702309234
31,9.927067469020786,0.9805427753310478,0.6923943655706433,0.0004890433202972272,0.5479350700936277,0.0042459081951447914,0.07307461692818336,0.04071946246549059,146113.46245665575,0.1709659654060448
32,22.458038690325168,1.0626715338117763,0.8229896820554828,0.00026269330717191387,0.4576769995913619,0.002803234063519317,0.15692172974516982,0.00070913781755646,93201.6268766702,0.1347151545127453
33,1.8215237238482211,1.1423571429359358,0.7909566012219328,0.0008347604248661308,0.37038026156938664,0.000825659549280665,0.0818613798205347,0.1766212786600286,69029.26320885205,0.051933939921668
34,2.208907809564065,1.1164215492005416,0.9146236227842661,0.0002108664618014143,0.18724135657260843,0.0006036887461917496,0.24502906046786066,0.15922446097760834,167877.7786491108,0.11165166998602674
35,4.719524791563024,0.6927320029993228,0.925458355492786,0.0008647410905237441,0.5869133181120295,0.004072781427707945,0.2703540511658311,0.12413230203014257,108765.28677985401,0.22682694029020178
36,1.451193478794875,1.1584895316289954,0.8807822986279985,0.0008641999643469043,0.4959121241159139,0.001407347977012913,0.24684362728386777,0.06643709358928573,148387.73661060986,0.054957272379637746
37,1.5646580240790822,0.7334602305273986,0.8858053119589251,0.0004608429314442632,0.2178549770362303,0.0039971929458490225,0.10689887185194259,0.17171865026755634,164660.01394873078,0.07161912528059143
38,1.7408656306005557,1.1186117652181717,0.9384111864169263,0.0002798458677291496,0.40281495623419517,0.002058424083364298,0.295287421799565,0.06565239023954131,83175.57459932505,0.054732886940290305
39,39.33257073210158,1.1822403666133368,0.6624987356603622,0.000962571781445794,0.1960064993876327,0.0006311724813520844,0.1586409396411611,0.02306835037028552,172708.45683896588,0.1572431464957444
