trial,score,best_so_far
0,1.419747194145309,1.419747194145309
1,1.329823953711147,1.329823953711147
2,2.265095593052272,1.329823953711147
3,2.352537117414081,1.329823953711147
4,8.71459708940456,1.329823953711147
5,1.9350310578522028,1.329823953711147
6,2.387999561703662,1.329823953711147
7,27.340052242599846,1.329823953711147
8,1.22162781161204,1.22162781161204
9,4.538920474340502,1.22162781161204
10,8.543764098757446,1.22162781161204
11,1.5776632814715865,1.22162781161204
12,2.0489041221710766,1.22162781161204
13,19.509570380473107,1.22162781161204
14,1.9691396961540892,1.22162781161204
15,1.0177973900083188,1.0177973900083188
16,0.8142317154559504,0.8142317154559504
17,2.029535227782305,0.8142317154559504
18,1.0660885208864395,0.8142317154559504
19,13.60123962190917,0.8142317154559504
20,0.7033158908330585,0.7033158908330585
21,39.90770662414688,0.7033158908330585
22,1.6878369471091683,0.7033158908330585
23,15.67108142237041,0.7033158908330585
24,6.547727572704667,0.7033158908330585
25,1.456529652247462,0.7033158908330585
26,28.57075495658723,0.7033158908330585
27,1.109747541650808,0.7033158908330585
28,1.8023027941984608,0.7033158908330585
29,9.810610886201498,0.7033158908330585
30,9.893245091792366,0.7033158908330585
31,0.935092994138128,0.7033158908330585
32,12.810672594286254,0.7033158908330585
33,7.579393931902598,0.7033158908330585
34,0.7404471511617093,0.7033158908330585
35,15.254044246287565,0.7033158908330585
36,36.590048181740116,0.7033158908330585
37,11.544923308288409,0.7033158908330585
38,4.796017622133628,0.7033158908330585
39,18.907940758999825,0.7033158908330585
40,2.979047888254057,0.7033158908330585
41,1.248873744393386,0.7033158908330585
42,1.6548306418797794,0.7033158908330585
43,10.261298492360856,0.7033158908330585
44,5.417607167227359,0.7033158908330585
45,2.2871373246186364,0.7033158908330585
46,6.479076016477859,0.7033158908330585
47,2.8056169631004773,0.7033158908330585
48,17.23904330231644,0.7033158908330585
49,2.0097711551461845,0.7033158908330585
